id,stop_letter,name,lat,lon,lines,modes,parent_id,top_most_parent_id,station_id
490005603E,RM,Corbetts Lane,51.490942,-0.053175,"['1', '381', 'n1', 'n381']",['bus'],490G00005603,490G00005603,490G00005603
490014228E,RN,Warndon Street,51.491123,-0.050531,"['1', '381', 'n1', 'n381']",['bus'],490G00011722,490G00011722,490G00011722
490000229O,S,Surrey Quays Station,51.49295,-0.047918,"['1', '188', '199', '225', '381', 'n199', 'n381']",['bus'],490G00229O,910GSURREYQ,490G00229O
490011723P,P,Rotherhithe Police Station,51.495462,-0.051355,"['1', '199', '225', '381', 'n199', 'n381']",['bus'],490G00011723,490G00011723,490G00011723
490004733D,D,Canada Water Bus Station,51.498145,-0.049944,"['1', '199', '225', 'c10', 'p12']",['bus'],490G000438,HUBZCW,490G000438
490004733C,C,Canada Water Bus Station,51.497775,-0.049844,"['1', '381', 'p12']",['bus'],490G000438,HUBZCW,490G000438
490011723E,E,Rotherhithe Police Station,51.494944,-0.050484,"['1', '108', '199', '225', '381', 'n199', 'n381', 'p12']",['bus'],490G00011723,490G00011723,490G00011723
490013042J,J,Surrey Quays Shopping Centre,51.49401,-0.046259,"['1', '188', 'n1']",['bus'],490G000775,490G000775,490G000775
490000229L,L,Surrey Quays Station,51.493421,-0.046011,"['1', '188', '199', '225', '381', 'n1', 'n199', 'n381']",['bus'],490G00229S,910GSURREYQ,490G00229S
490011722Q,Q,Warndon Street,51.491062,-0.049079,"['1', '381', 'n1', 'n381']",['bus'],490G00011722,490G00011722,490G00011722
490005603W,RE,Corbetts Lane,51.490641,-0.054038,"['1', '381', 'n1', 'n381']",['bus'],490G00005603,490G00005603,490G00005603
490009482N,GP,Lynton Road,51.490197,-0.059776,"['1', '381', 'n1', 'n381']",['bus'],490G00009482,490G00009482,490G00009482
490003311N,GQ,Anchor Street,51.491578,-0.060625,"['1', '381', 'n1', 'n381']",['bus'],490G00003311,490G00003311,490G00003311
490012353W,PG,Southwark Park Road / St James's Road,51.49225,-0.064874,"['1', '381', 'n1', 'n381', 'p12']",['bus'],490G00012353,490G00012353,490G00012353
490011538W,PH,Reverdy Road,51.492687,-0.069523,"['1', 'n1']",['bus'],490G00011538,490G00011538,490G00011538
490003275W,U,Alscot Road,51.493622,-0.07444,"['1', '78', 'n1']",['bus'],490G00003275,490G00003275,490G00003275
490012367W,V,Spa Road,51.495374,-0.077665,"['1', '78', 'n1']",['bus'],490G00012367,490G00012367,490G00012367
490007362S,J,Grange Road / Caledonian Market,51.496403,-0.082275,"['1', '188', 'n1']",['bus'],490G00007362,490G00007362,490G00007362
490015272BJ,BJ,Bricklayer's Arms / Tower Bridge Road,51.495154,-0.083955,"['1', '188', '42', 'n1']",['bus'],490G00019012,490G00019012,490G00019012
490003658BS,BS,Bricklayer's Arms / New Kent Road,51.494033,-0.09024,"['1', '172', '188', '363', '415', '453', '53', '63', 'n1', 'n53', 'n63']",['bus'],490G00003658,490G00003658,490G00003658
